Kota/Kabupaten,Tahun,HDI
Bengkulu Utara,2021.0,69.28
Bengkulu Utara,2022.0,69.77
Bengkulu Utara,2023.0,70.28
Bengkulu Utara,2024.0,71.11
Berau,2013.0,72.02
Berau,2014.0,72.26
Berau,2015.0,72.72
Berau,2016.0,73.05
Berau,2017.0,73.56
Berau,2018.0,74.01
Berau,2019.0,74.88
Berau,2020.0,74.71
Berau,2021.0,75.2
Berau,2022.0,75.74
Berau,2023.0,76.21
Berau,2024.0,76.66
Biak Numfor,2013.0,69.35
Biak Numfor,2014.0,70.32
Biak Numfor,2015.0,70.85
Biak Numfor,2016.0,71.13
Biak Numfor,2017.0,71.56
Biak Numfor,2018.0,71.96
Biak Numfor,2019.0,72.57
Biak Numfor,2020.0,72.19
Biak Numfor,2021.0,72.33
Biak Numfor,2022.0,72.85
Biak Numfor,2023.0,73.46
Biak Numfor,2024.0,73.98
Bima,2013.0,62.08
Bima,2014.0,62.61
Bima,2015.0,63.48
Bima,2016.0,64.15
Bima,2017.0,65.01
Bima,2018.0,65.62
Bima,2019.0,66.37
Bima,2020.0,66.3
Bima,2021.0,66.66
Bima,2022.0,67.57
Bima,2023.0,68.28
Bima,2024.0,68.94
Bintan,2013.0,71.31
Bintan,2014.0,71.65
Bintan,2015.0,71.92
Bintan,2016.0,72.38
Bintan,2017.0,72.91
Bintan,2018.0,73.41
Bintan,2019.0,73.98
Bintan,2020.0,74.13
Bintan,2021.0,74.57
Bintan,2022.0,74.99
Bintan,2023.0,75.7
Bintan,2024.0,76.18
Bireuen,2013.0,68.23
Bireuen,2014.0,68.71
Bireuen,2015.0,69.77
Bireuen,2016.0,70.21
Bireuen,2017.0,71.11
Bireuen,2018.0,71.37
Bireuen,2019.0,72.27
Bireuen,2020.0,72.28
Bireuen,2021.0,72.33
Bireuen,2022.0,73.16
Bireuen,2023.0,73.63
Bireuen,2024.0,74.45
Blitar,2013.0,66.49
Blitar,2014.0,66.88
Blitar,2015.0,68.13
Blitar,2016.0,68.88
Blitar,2017.0,69.33
Blitar,2018.0,69.93
Blitar,2019.0,70.57
Blitar,2020.0,70.58
Blitar,2021.0,71.05
Blitar,2022.0,71.86
Blitar,2023.0,72.49
Blitar,2024.0,73.09
Blora,2013.0,65.37
Blora,2014.0,65.84
Blora,2015.0,66.22
Blora,2016.0,66.61
Blora,2017.0,67.52
Blora,2018.0,67.95
Blora,2019.0,68.65
Blora,2020.0,68.84
Blora,2021.0,69.37
Blora,2022.0,69.95
Blora,2023.0,70.63
Blora,2024.0,71.39
Boalemo,2013.0,61.71
Boalemo,2014.0,62.18
Boalemo,2015.0,62.86
Boalemo,2016.0,63.42
Boalemo,2017.0,64.22
Boalemo,2018.0,64.99
Boalemo,2019.0,65.53
Boalemo,2020.0,65.91
Boalemo,2021.0,66.42
Boalemo,2022.0,67.27
Boalemo,2023.0,68.18
Boalemo,2024.0,68.74
Bogor,2013.0,66.74
Bogor,2014.0,67.36
Bogor,2015.0,67.77
Bogor,2016.0,68.32
Bogor,2017.0,69.13
Bogor,2018.0,69.69
Bogor,2019.0,70.65
Bogor,2020.0,70.4
Bogor,2021.0,70.6
Bogor,2022.0,71.2
Bogor,2023.0,71.78
Bogor,2024.0,72.39
Bojonegoro,2013.0,64.85
Bojonegoro,2014.0,65.27
Bojonegoro,2015.0,66.17
Bojonegoro,2016.0,66.73
Bojonegoro,2017.0,67.28
Bojonegoro,2018.0,67.85
Bojonegoro,2019.0,68.75
Bojonegoro,2020.0,69.04
Bojonegoro,2021.0,69.59
Bojonegoro,2022.0,70.12
Bojonegoro,2023.0,70.85
Bojonegoro,2024.0,71.78
Bolaang Mongondow,2013.0,64.16
Bolaang Mongondow,2014.0,64.53
Bolaang Mongondow,2015.0,65.03
Bolaang Mongondow,2016.0,65.73
Bolaang Mongondow,2017.0,66.08
Bolaang Mongondow,2018.0,66.91
Bolaang Mongondow,2019.0,67.82
Bolaang Mongondow,2020.0,67.89
Bolaang Mongondow,2021.0,68.16
Bolaang Mongondow,2022.0,68.95
Bolaang Mongondow,2023.0,69.62
Bolaang Mongondow,2024.0,70.29
Bolaang Mongondow Selatan,2013.0,62.84
Bolaang Mongondow Selatan,2014.0,63.57
Bolaang Mongondow Selatan,2015.0,63.72
Bolaang Mongondow Selatan,2016.0,63.92
Bolaang Mongondow Selatan,2017.0,64.05
Bolaang Mongondow Selatan,2018.0,64.49
Bolaang Mongondow Selatan,2019.0,65.28
Bolaang Mongondow Selatan,2020.0,65
Bolaang Mongondow Selatan,2021.0,65.42
Bolaang Mongondow Selatan,2022.0,65.9
Bolaang Mongondow Selatan,2023.0,66.4
Bolaang Mongondow Selatan,2024.0,67.14
Bolaang Mongondow Timur,2013.0,62.64
Bolaang Mongondow Timur,2014.0,63.12
Bolaang Mongondow Timur,2015.0,63.81
Bolaang Mongondow Timur,2016.0,64.44
Bolaang Mongondow Timur,2017.0,64.73
Bolaang Mongondow Timur,2018.0,65.21
Bolaang Mongondow Timur,2019.0,66.08
Bolaang Mongondow Timur,2020.0,65.99
Bolaang Mongondow Timur,2021.0,66.55
Bolaang Mongondow Timur,2022.0,67.21
Bolaang Mongondow Timur,2023.0,67.95
Bolaang Mongondow Timur,2024.0,68.53
Bolaang Mongondow Utara,2013.0,63.67
Bolaang Mongondow Utara,2014.0,64.24
