Tahun,Provinsi,HDI
2013,Papua Pegunungan,-
2014,Papua Pegunungan,-
2015,Papua Pegunungan,-
2016,Papua Pegunungan,-
2017,Papua Pegunungan,-
2018,Papua Pegunungan,-
2019,Papua Pegunungan,-
2020,Papua Pegunungan,-
2021,Papua Pegunungan,-
2022,Papua Pegunungan,51.7
2023,Papua Pegunungan,52.45
2024,Papua Pegunungan,53.42
2013,Papua Selatan,-
2014,Papua Selatan,-
2015,Papua Selatan,-
2016,Papua Selatan,-
2017,Papua Selatan,-
2018,Papua Selatan,-
2019,Papua Selatan,-
2020,Papua Selatan,-
2021,Papua Selatan,-
2022,Papua Selatan,65.74
2023,Papua Selatan,67.27
2024,Papua Selatan,67.9
2013,Papua Tengah,-
2014,Papua Tengah,-
2015,Papua Tengah,-
2016,Papua Tengah,-
2017,Papua Tengah,-
2018,Papua Tengah,-
2019,Papua Tengah,-
2020,Papua Tengah,-
2021,Papua Tengah,-
2022,Papua Tengah,58.25
2023,Papua Tengah,58.93
2024,Papua Tengah,59.75
2013,Riau,69.91
2014,Riau,70.33
2015,Riau,70.84
2016,Riau,71.2
2017,Riau,71.79
2018,Riau,72.44
2019,Riau,73
2020,Riau,72.71
2021,Riau,72.94
2022,Riau,73.52
2023,Riau,74.04
2024,Riau,74.79
2013,Sulawesi Barat,61.53
2014,Sulawesi Barat,62.24
2015,Sulawesi Barat,62.96
2016,Sulawesi Barat,63.6
2017,Sulawesi Barat,64.3
2018,Sulawesi Barat,65.1
2019,Sulawesi Barat,65.73
2020,Sulawesi Barat,66.11
2021,Sulawesi Barat,66.36
2022,Sulawesi Barat,66.92
2023,Sulawesi Barat,67.55
2024,Sulawesi Barat,68.2
2013,Sulawesi Selatan,67.92
2014,Sulawesi Selatan,68.49
2015,Sulawesi Selatan,69.15
2016,Sulawesi Selatan,69.76
2017,Sulawesi Selatan,70.34
2018,Sulawesi Selatan,70.9
2019,Sulawesi Selatan,71.66
2020,Sulawesi Selatan,71.93
2021,Sulawesi Selatan,72.24
2022,Sulawesi Selatan,72.82
2023,Sulawesi Selatan,73.46
2024,Sulawesi Selatan,74.05
2013,Sulawesi Tengah,65.79
2014,Sulawesi Tengah,66.43
2015,Sulawesi Tengah,66.76
2016,Sulawesi Tengah,67.47
2017,Sulawesi Tengah,68.11
2018,Sulawesi Tengah,68.88
2019,Sulawesi Tengah,69.5
2020,Sulawesi Tengah,69.55
2021,Sulawesi Tengah,69.79
2022,Sulawesi Tengah,70.28
2023,Sulawesi Tengah,70.95
2024,Sulawesi Tengah,71.56
2013,Sulawesi Tenggara,67.55
2014,Sulawesi Tenggara,68.07
2015,Sulawesi Tenggara,68.75
2016,Sulawesi Tenggara,69.31
2017,Sulawesi Tenggara,69.86
2018,Sulawesi Tenggara,70.61
2019,Sulawesi Tenggara,71.2
2020,Sulawesi Tenggara,71.45
2021,Sulawesi Tenggara,71.66
2022,Sulawesi Tenggara,72.23
2023,Sulawesi Tenggara,72.79
2024,Sulawesi Tenggara,73.48
2013,Sulawesi Utara,69.49
2014,Sulawesi Utara,69.96
2015,Sulawesi Utara,70.39
2016,Sulawesi Utara,71.05
2017,Sulawesi Utara,71.66
2018,Sulawesi Utara,72.2
2019,Sulawesi Utara,72.99
2020,Sulawesi Utara,72.93
2021,Sulawesi Utara,73.3
2022,Sulawesi Utara,73.81
2023,Sulawesi Utara,74.36
2024,Sulawesi Utara,75.03
2013,Sumatera Barat,68.91
2014,Sumatera Barat,69.36
2015,Sumatera Barat,69.98
2016,Sumatera Barat,70.73
2017,Sumatera Barat,71.24
2018,Sumatera Barat,71.73
2019,Sumatera Barat,72.39
2020,Sumatera Barat,72.38
2021,Sumatera Barat,72.65
2022,Sumatera Barat,73.26
2023,Sumatera Barat,73.75
2024,Sumatera Barat,74.49
2013,Sumatera Selatan,66.16
2014,Sumatera Selatan,66.75
2015,Sumatera Selatan,67.46
2016,Sumatera Selatan,68.24
2017,Sumatera Selatan,68.86
2018,Sumatera Selatan,69.39
2019,Sumatera Selatan,70.02
2020,Sumatera Selatan,70.01
2021,Sumatera Selatan,70.24
2022,Sumatera Selatan,70.9
2023,Sumatera Selatan,71.62
2024,Sumatera Selatan,72.3
2013,Sumatera Utara,68.36
2014,Sumatera Utara,68.87
2015,Sumatera Utara,69.51
2016,Sumatera Utara,70
2017,Sumatera Utara,70.57
2018,Sumatera Utara,71.18
2019,Sumatera Utara,71.74
2020,Sumatera Utara,71.77
2021,Sumatera Utara,72
2022,Sumatera Utara,72.71
2023,Sumatera Utara,73.37
2024,Sumatera Utara,74.02
