tahun;provinsi;stunting_prevalence;life_expectancy_at_birth;hdi
2020;Maluku;27,94;65.98;69.49
2021;Maluku;28,7;66.09;69.71
2022;Maluku;26,1;66.45;70.22
2023;Maluku;28,4;66.78;70.94
2024;Maluku;28,4;66.99;71.57
2013;Maluku Utara;;67.24;64.78
2014;Maluku Utara;;67.33;65.18
2015;Maluku Utara;;67.44;65.91
2016;Maluku Utara;;67.51;66.63
2017;Maluku Utara;;67.54;67.2
2018;Maluku Utara;;67.8;67.76
2019;Maluku Utara;29,07;68.18;68.7
2020;Maluku Utara;27,23;68.33;68.49
2021;Maluku Utara;27,5;68.45;68.76
2022;Maluku Utara;26,1;68.79;69.47
2023;Maluku Utara;28,4;69.11;70.21
2024;Maluku Utara;23,2;69.35;71.03
2013;Nusa Tenggara Barat;;64.74;63.76
2014;Nusa Tenggara Barat;;64.89;64.31
2015;Nusa Tenggara Barat;;65.38;65.19
2016;Nusa Tenggara Barat;;65.48;65.81
2017;Nusa Tenggara Barat;;65.55;66.58
2018;Nusa Tenggara Barat;;65.87;67.3
2019;Nusa Tenggara Barat;37,85;66.28;68.14
2020;Nusa Tenggara Barat;38,15;66.51;68.25
2021;Nusa Tenggara Barat;31,4;66.69;68.65
2022;Nusa Tenggara Barat;32,7;67.07;69.46
2023;Nusa Tenggara Barat;24,6;67.47;70.2
2024;Nusa Tenggara Barat;29,8;67.73;70.93
2013;Nusa Tenggara Timur;;65.82;61.68
2014;Nusa Tenggara Timur;;65.91;62.26
2015;Nusa Tenggara Timur;;65.96;62.67
2016;Nusa Tenggara Timur;;66.04;63.13
2017;Nusa Tenggara Timur;;66.07;63.73
2018;Nusa Tenggara Timur;;66.38;64.39
2019;Nusa Tenggara Timur;43,82;66.85;65.23
2020;Nusa Tenggara Timur;42,99;67.01;65.19
2021;Nusa Tenggara Timur;37,8;67.15;65.28
2022;Nusa Tenggara Timur;35,4;67.47;65.9
2023;Nusa Tenggara Timur;37,9;67.77;66.68
2024;Nusa Tenggara Timur;37;67.99;67.39
2013;Papua;;64.76;56.25
2014;Papua;;64.84;56.75
2015;Papua;;65.09;57.25
2016;Papua;;65.12;58.05
2017;Papua;;65.14;59.09
2018;Papua;;65.36;60.06
2019;Papua;29,36;65.65;60.84
2020;Papua;23,42;65.79;60.44
2021;Papua;29,5;65.93;60.62
2022;Papua;34,6;66.23;71.76
2023;Papua;28,6;66.44;72.41
2024;Papua;24,7;68.79;73
2013;Papua Barat;;65.05;60.91
2014;Papua Barat;;65.13;61.28
2015;Papua Barat;;65.19;61.73
2016;Papua Barat;;65.3;62.21
2017;Papua Barat;;65.32;62.99
2018;Papua Barat;;65.55;63.74
2019;Papua Barat;24,58;65.9;64.7
2020;Papua Barat;28,05;66.02;65.09
2021;Papua Barat;26,2;66.14;65.26
2022;Papua Barat;30;66.46;65.16
2023;Papua Barat;24,8;66.79;66.16
2024;Papua Barat;24,6;67.05;67.02
2013;Papua Barat Daya;;-;-
2014;Papua Barat Daya;;-;-
2015;Papua Barat Daya;;-;-
2016;Papua Barat Daya;;-;-
2017;Papua Barat Daya;;-;-
2018;Papua Barat Daya;;-;-
2019;Papua Barat Daya;;-;-
2020;Papua Barat Daya;;-;-
2021;Papua Barat Daya;;-;-
2022;Papua Barat Daya;;-;67.59
2023;Papua Barat Daya;31;-;68.05
2024;Papua Barat Daya;30,5;67.85;68.63
2013;Papua Pegunungan;;-;-
2014;Papua Pegunungan;;-;-
2015;Papua Pegunungan;;-;-
2016;Papua Pegunungan;;-;-
2017;Papua Pegunungan;;-;-
2018;Papua Pegunungan;;-;-
2019;Papua Pegunungan;;-;-
2020;Papua Pegunungan;;-;-
2021;Papua Pegunungan;;-;-
2022;Papua Pegunungan;;-;51.7
2023;Papua Pegunungan;37,3;-;52.45
2024;Papua Pegunungan;;64.8;53.42
2013;Papua Selatan;;-;-
2014;Papua Selatan;;-;-
2015;Papua Selatan;;-;-
2016;Papua Selatan;;-;-
2017;Papua Selatan;;-;-
2018;Papua Selatan;;-;-
2019;Papua Selatan;;-;-
2020;Papua Selatan;;-;-
2021;Papua Selatan;;-;-
2022;Papua Selatan;;-;65.74
2023;Papua Selatan;25;-;67.27
2024;Papua Selatan;25,7;66.45;67.9
2013;Papua Tengah;;-;-
2014;Papua Tengah;;-;-
2015;Papua Tengah;;-;-
2016;Papua Tengah;;-;-
2017;Papua Tengah;;-;-
2018;Papua Tengah;;-;-
2019;Papua Tengah;;-;-
2020;Papua Tengah;;-;-
2021;Papua Tengah;;-;-
2022;Papua Tengah;;-;58.25
2023;Papua Tengah;39,4;-;58.93
2024;Papua Tengah;;66.99;59.75
2013;Riau;;70.67;69.91
2014;Riau;;70.76;70.33
2015;Riau;;70.93;70.84
2016;Riau;;70.97;71.2
2017;Riau;;70.99;71.79
2018;Riau;;71.19;72.44
2019;Riau;23,95;71.48;73
2020;Riau;22,43;71.6;72.71
2021;Riau;22,3;71.67;72.94
2022;Riau;17;71.95;73.52
2023;Riau;13,6;72.24;74.04
2024;Riau;20,1;72.52;74.79
2013;Sulawesi Barat;;63.32;61.53
2014;Sulawesi Barat;;64.04;62.24
2015;Sulawesi Barat;;64.22;62.96
2016;Sulawesi Barat;;64.31;63.6
2017;Sulawesi Barat;;64.34;64.3
2018;Sulawesi Barat;;64.58;65.1
2019;Sulawesi Barat;40,38;64.82;65.73
2020;Sulawesi Barat;40,44;65.06;66.11
2021;Sulawesi Barat;33,8;65.25;66.36
2022;Sulawesi Barat;35;65.63;66.92
2023;Sulawesi Barat;30,3;66.01;67.55
2024;Sulawesi Barat;35,4;66.27;68.2
2013;Sulawesi Selatan;;69.5;67.92
2014;Sulawesi Selatan;;69.59;68.49
2015;Sulawesi Selatan;;69.8;69.15
2016;Sulawesi Selatan;;69.82;69.76
2017;Sulawesi Selatan;;69.84;70.34
2018;Sulawesi Selatan;;70.08;70.9
2019;Sulawesi Selatan;30,59;70.43;71.66
2020;Sulawesi Selatan;29,28;70.57;71.93
2021;Sulawesi Selatan;27,4;70.66;72.24
2022;Sulawesi Selatan;27,2;70.97;72.82
2023;Sulawesi Selatan;27,4;71.22;73.46
2024;Sulawesi Selatan;23,3;71.43;74.05
2013;Sulawesi Tengah;;67.02;65.79
2014;Sulawesi Tengah;;67.18;66.43
2015;Sulawesi Tengah;;67.26;66.76
2016;Sulawesi Tengah;;67.31;67.47
2017;Sulawesi Tengah;;67.32;68.11
2018;Sulawesi Tengah;;67.78;68.88
2019;Sulawesi Tengah;31,16;68.23;69.5
2020;Sulawesi Tengah;29,66;68.69;69.55
2021;Sulawesi Tengah;29,7;68.83;69.79
2022;Sulawesi Tengah;28,2;68.93;70.28
2023;Sulawesi Tengah;27,2;69.17;70.95
2024;Sulawesi Tengah;26,1;69.42;71.56
2013;Sulawesi Tenggara;;70.28;67.55
2014;Sulawesi Tenggara;;70.39;68.07
2015;Sulawesi Tenggara;;70.44;68.75
2016;Sulawesi Tenggara;;70.46;69.31
2017;Sulawesi Tenggara;;70.47;69.86
2018;Sulawesi Tenggara;;70.72;70.61
2019;Sulawesi Tenggara;31,44;70.97;71.2
2020;Sulawesi Tenggara;29,76;71.22;71.45
2021;Sulawesi Tenggara;30,2;71.27;71.66
2022;Sulawesi Tenggara;27,7;71.37;72.23
2023;Sulawesi Tenggara;30;71.47;72.79
2024;Sulawesi Tenggara;26,1;71.6;73.48
2013;Sulawesi Utara;;70.86;69.49
2014;Sulawesi Utara;;70.94;69.96
2015;Sulawesi Utara;;70.99;70.39
2016;Sulawesi Utara;;71.02;71.05
2017;Sulawesi Utara;;71.04;71.66
2018;Sulawesi Utara;;71.26;72.2
2019;Sulawesi Utara;21,18;71.58;72.99
2020;Sulawesi Utara;19,73;71.69;72.93
2021;Sulawesi Utara;21,6;71.76;73.3
2022;Sulawesi Utara;20,5;72.08;73.81
2023;Sulawesi Utara;21,3;72.4;74.36
2024;Sulawesi Utara;20,8;72.69;75.03
2013;Sumatera Barat;;68.21;68.91
2014;Sumatera Barat;;68.32;69.36
2015;Sumatera Barat;;68.66;69.98
2016;Sumatera Barat;;68.73;70.73
2017;Sumatera Barat;;68.78;71.24
2018;Sumatera Barat;;69.01;71.73
2019;Sumatera Barat;27,47;69.31;72.39
2020;Sumatera Barat;26,71;69.47;72.38
2021;Sumatera Barat;23,3;69.59;72.65
2022;Sumatera Barat;35;69.9;73.26
2023;Sumatera Barat;23,6;70.19;73.75
2024;Sumatera Barat;24,9;70.33;74.49
2013;Sumatera Selatan;;68.84;66.16
2014;Sumatera Selatan;;68.93;66.75
2015;Sumatera Selatan;;69.14;67.46
2016;Sumatera Selatan;;69.16;68.24
2017;Sumatera Selatan;;69.18;68.86
2018;Sumatera Selatan;;69.41;69.39
2019;Sumatera Selatan;28,98;69.65;70.02
2020;Sumatera Selatan;28,68;69.88;70.01
2021;Sumatera Selatan;24,8;69.98;70.24
2022;Sumatera Selatan;27,2;70.32;70.9
2023;Sumatera Selatan;20,2;70.66;71.62
2024;Sumatera Selatan;15,9;70.93;72.3
2013;Sumatera Utara;;67.94;68.36
2014;Sumatera Utara;;68.04;68.87
2015;Sumatera Utara;;68.29;69.51
2016;Sumatera Utara;;68.33;70
2017;Sumatera Utara;;68.37;70.57
2018;Sumatera Utara;;68.61;71.18
2019;Sumatera Utara;30,11;68.95;71.74
2020;Sumatera Utara;28,7;69.1;71.77
2021;Sumatera Utara;25,8;69.23;72
2022;Sumatera Utara;21,1;69.61;72.71
2023;Sumatera Utara;18,9;69.98;73.37
2024;Sumatera Utara;22;70.28;74.02
