Kota/Kabupaten,Tahun,Life Expectancy at Birth (Year),Provinsi
Pidie,2015,66.46,Aceh
Pidie,2016,66.52,Aceh
Pidie,2017,66.58,Aceh
Pidie,2018,66.68,Aceh
Pidie,2019,66.89,Aceh
Pidie,2020,66.94,Aceh
Pidie,2021,66.95,Aceh
Pidie,2022,67.15,Aceh
Pidie,2023,67.29,Aceh
Pidie,2024,67.41,Aceh
Pidie Jaya,2013,69.11,Aceh
Pidie Jaya,2014,69.13,Aceh
Pidie Jaya,2015,69.49,Aceh
Pidie Jaya,2016,69.59,Aceh
Pidie Jaya,2017,69.68,Aceh
Pidie Jaya,2018,69.81,Aceh
Pidie Jaya,2019,70.06,Aceh
Pidie Jaya,2020,70.14,Aceh
Pidie Jaya,2021,70.18,Aceh
Pidie Jaya,2022,70.41,Aceh
Pidie Jaya,2023,70.6,Aceh
Pidie Jaya,2024,70.77,Aceh
Simeulue,2013,64.23,Aceh
Simeulue,2014,64.24,Aceh
Simeulue,2015,64.66,Aceh
Simeulue,2016,64.78,Aceh
Simeulue,2017,64.9,Aceh
Simeulue,2018,65,Aceh
Simeulue,2019,65.22,Aceh
Simeulue,2020,65.26,Aceh
Simeulue,2021,65.28,Aceh
Simeulue,2022,65.48,Aceh
Simeulue,2023,65.61,Aceh
Simeulue,2024,65.73,Aceh
Badung,2013,74.19,Bali
Badung,2014,74.3,Bali
Badung,2015,74.31,Bali
Badung,2016,74.42,Bali
Badung,2017,74.53,Bali
Badung,2018,74.71,Bali
Badung,2019,74.99,Bali
Badung,2020,75.1,Bali
Badung,2021,75.18,Bali
Badung,2022,75.51,Bali
Badung,2023,75.88,Bali
Badung,2024,76.18,Bali
Bangli,2013,69.36,Bali
Bangli,2014,69.44,Bali
Bangli,2015,69.54,Bali
Bangli,2016,69.69,Bali
Bangli,2017,69.83,Bali
Bangli,2018,70.05,Bali
Bangli,2019,70.37,Bali
Bangli,2020,70.52,Bali
Bangli,2021,70.62,Bali
Bangli,2022,70.97,Bali
Bangli,2023,71.33,Bali
Bangli,2024,71.63,Bali
Buleleng,2013,70.58,Bali
Buleleng,2014,70.71,Bali
Buleleng,2015,70.81,Bali
Buleleng,2016,70.97,Bali
Buleleng,2017,71.14,Bali
Buleleng,2018,71.36,Bali
Buleleng,2019,71.68,Bali
Buleleng,2020,71.83,Bali
Buleleng,2021,71.95,Bali
Buleleng,2022,72.32,Bali
Buleleng,2023,72.7,Bali
Buleleng,2024,72.92,Bali
Gianyar,2013,72.71,Bali
Gianyar,2014,72.78,Bali
Gianyar,2015,72.84,Bali
