country,tahun,provinsi,kota_kabupaten,level,"Pivot HDI, LE, Stunting","Pivot HDI, LE, Stunting (Values)"
Indonesia,2019,Kalimantan Barat,,provinsi,stunting,31.46
Indonesia,2020,Kalimantan Barat,,provinsi,stunting,30.9
Indonesia,2021,Kalimantan Barat,,provinsi,stunting,29.8
Indonesia,2022,Kalimantan Barat,,provinsi,stunting,25.2
Indonesia,2023,Kalimantan Barat,,provinsi,stunting,24.5
Indonesia,2024,Kalimantan Barat,,provinsi,stunting,26.8
Indonesia,2013,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2014,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2015,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2016,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2017,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2018,Kalimantan Selatan,,provinsi,stunting,
Indonesia,2019,Kalimantan Selatan,,provinsi,stunting,31.75
Indonesia,2020,Kalimantan Selatan,,provinsi,stunting,30.93
Indonesia,2021,Kalimantan Selatan,,provinsi,stunting,30.0
Indonesia,2022,Kalimantan Selatan,,provinsi,stunting,24.6
Indonesia,2023,Kalimantan Selatan,,provinsi,stunting,24.7
Indonesia,2024,Kalimantan Selatan,,provinsi,stunting,22.9
Indonesia,2013,Kalimantan Tengah,,provinsi,stunting,
Indonesia,2014,Kalimantan Tengah,,provinsi,stunting,
Indonesia,2015,Kalimantan Tengah,,provinsi,stunting,
Indonesia,2016,Kalimantan Tengah,,provinsi,stunting,
Indonesia,2017,Kalimantan Tengah,,provinsi,stunting,
Indonesia,2018,Kalimantan Tengah,,provinsi,stunting,
Indonesia,2019,Kalimantan Tengah,,provinsi,stunting,32.3
Indonesia,2020,Kalimantan Tengah,,provinsi,stunting,30.48
Indonesia,2021,Kalimantan Tengah,,provinsi,stunting,27.4
Indonesia,2022,Kalimantan Tengah,,provinsi,stunting,26.9
Indonesia,2023,Kalimantan Tengah,,provinsi,stunting,23.5
Indonesia,2024,Kalimantan Tengah,,provinsi,stunting,22.1
Indonesia,2013,Kalimantan Timur,,provinsi,stunting,
Indonesia,2014,Kalimantan Timur,,provinsi,stunting,
Indonesia,2015,Kalimantan Timur,,provinsi,stunting,
Indonesia,2016,Kalimantan Timur,,provinsi,stunting,
Indonesia,2017,Kalimantan Timur,,provinsi,stunting,
Indonesia,2018,Kalimantan Timur,,provinsi,stunting,
Indonesia,2019,Kalimantan Timur,,provinsi,stunting,28.09
Indonesia,2020,Kalimantan Timur,,provinsi,stunting,27.49
Indonesia,2021,Kalimantan Timur,,provinsi,stunting,22.8
Indonesia,2022,Kalimantan Timur,,provinsi,stunting,23.9
Indonesia,2023,Kalimantan Timur,,provinsi,stunting,22.9
Indonesia,2024,Kalimantan Timur,,provinsi,stunting,22.2
Indonesia,2013,Kalimantan Utara,,provinsi,stunting,
Indonesia,2014,Kalimantan Utara,,provinsi,stunting,
Indonesia,2015,Kalimantan Utara,,provinsi,stunting,
Indonesia,2016,Kalimantan Utara,,provinsi,stunting,
Indonesia,2017,Kalimantan Utara,,provinsi,stunting,
Indonesia,2018,Kalimantan Utara,,provinsi,stunting,
Indonesia,2019,Kalimantan Utara,,provinsi,stunting,26.25
Indonesia,2020,Kalimantan Utara,,provinsi,stunting,25.76
Indonesia,2021,Kalimantan Utara,,provinsi,stunting,27.5
Indonesia,2022,Kalimantan Utara,,provinsi,stunting,22.1
Indonesia,2023,Kalimantan Utara,,provinsi,stunting,21.3
Indonesia,2024,Kalimantan Utara,,provinsi,stunting,17.6
Indonesia,2013,Kepulauan Bangka Belitung,,provinsi,stunting,
Indonesia,2014,Kepulauan Bangka Belitung,,provinsi,stunting,
Indonesia,2015,Kepulauan Bangka Belitung,,provinsi,stunting,
Indonesia,2016,Kepulauan Bangka Belitung,,provinsi,stunting,
Indonesia,2017,Kepulauan Bangka Belitung,,provinsi,stunting,
Indonesia,2018,Kepulauan Bangka Belitung,,provinsi,stunting,
Indonesia,2019,Kepulauan Bangka Belitung,,provinsi,stunting,19.93
Indonesia,2020,Kepulauan Bangka Belitung,,provinsi,stunting,20.94
Indonesia,2021,Kepulauan Bangka Belitung,,provinsi,stunting,18.6
Indonesia,2022,Kepulauan Bangka Belitung,,provinsi,stunting,18.5
Indonesia,2023,Kepulauan Bangka Belitung,,provinsi,stunting,20.6
Indonesia,2024,Kepulauan Bangka Belitung,,provinsi,stunting,20.1
Indonesia,2013,Kepulauan Riau,,provinsi,stunting,
Indonesia,2014,Kepulauan Riau,,provinsi,stunting,
Indonesia,2015,Kepulauan Riau,,provinsi,stunting,
Indonesia,2016,Kepulauan Riau,,provinsi,stunting,
Indonesia,2017,Kepulauan Riau,,provinsi,stunting,
Indonesia,2018,Kepulauan Riau,,provinsi,stunting,
Indonesia,2019,Kepulauan Riau,,provinsi,stunting,16.82
Indonesia,2020,Kepulauan Riau,,provinsi,stunting,13.72
Indonesia,2021,Kepulauan Riau,,provinsi,stunting,17.6
Indonesia,2022,Kepulauan Riau,,provinsi,stunting,15.4
Indonesia,2023,Kepulauan Riau,,provinsi,stunting,16.8
Indonesia,2024,Kepulauan Riau,,provinsi,stunting,15.0
Indonesia,2013,Lampung,,provinsi,stunting,
Indonesia,2014,Lampung,,provinsi,stunting,
Indonesia,2015,Lampung,,provinsi,stunting,
Indonesia,2016,Lampung,,provinsi,stunting,
Indonesia,2017,Lampung,,provinsi,stunting,
Indonesia,2018,Lampung,,provinsi,stunting,
Indonesia,2019,Lampung,,provinsi,stunting,26.26
Indonesia,2020,Lampung,,provinsi,stunting,24.4
Indonesia,2021,Lampung,,provinsi,stunting,18.5
Indonesia,2022,Lampung,,provinsi,stunting,15.2
Indonesia,2023,Lampung,,provinsi,stunting,14.9
Indonesia,2024,Lampung,,provinsi,stunting,15.9
Indonesia,2013,Maluku,,provinsi,stunting,
Indonesia,2014,Maluku,,provinsi,stunting,
Indonesia,2015,Maluku,,provinsi,stunting,
Indonesia,2016,Maluku,,provinsi,stunting,
Indonesia,2017,Maluku,,provinsi,stunting,
Indonesia,2018,Maluku,,provinsi,stunting,
Indonesia,2019,Maluku,,provinsi,stunting,30.38
Indonesia,2020,Maluku,,provinsi,stunting,27.94
